obs,action,reward,next_obs,done
"[[-0.006432628724724054, 1.4082955121994019, -0.6515825986862183, -0.11666391789913177, 0.007460709195584059, 0.14759321510791779, 0.0, 0.0]]",1,-2.095790147781372,"[-0.012950229458510876, 1.405102014541626, -0.6612643003463745, -0.14200614392757416, 0.01687115803360939, 0.18822671473026276, 0.0, 0.0]",False
"[[-0.012950229458510876, 1.405102014541626, -0.6612643003463745, -0.14200614392757416, 0.01687115803360939, 0.18822671473026276, 0.0, 0.0]]",0,-1.1815582513809204,"[-0.019468117505311966, 1.4013097286224365, -0.6612932682037354, -0.1686815768480301, 0.0262759942561388, 0.18811391294002533, 0.0, 0.0]",False
"[[-0.019468117505311966, 1.4013097286224365, -0.6612932682037354, -0.1686815768480301, 0.0262759942561388, 0.18811391294002533, 0.0, 0.0]]",1,-2.201443910598755,"[-0.026050757616758347, 1.3969106674194336, -0.6694093346595764, -0.19575344026088715, 0.0373055674135685, 0.22061166167259216, 0.0, 0.0]",False
"[[-0.026050757616758347, 1.3969106674194336, -0.6694093346595764, -0.19575344026088715, 0.0373055674135685, 0.22061166167259216, 0.0, 0.0]]",2,0.3254433572292328,"[-0.0325191505253315, 1.3928111791610718, -0.6586475968360901, -0.1825256049633026, 0.04898722097277641, 0.23365481197834015, 0.0, 0.0]",False
"[[-0.0325191505253315, 1.3928111791610718, -0.6586475968360901, -0.1825256049633026, 0.04898722097277641, 0.23365481197834015, 0.0, 0.0]]",2,-1.42978835105896,"[-0.039017677307128906, 1.38864266872406, -0.6615812182426453, -0.1856953650712967, 0.06060778722167015, 0.2324327528476715, 0.0, 0.0]",False
"[[-0.039017677307128906, 1.38864266872406, -0.6615812182426453, -0.1856953650712967, 0.06060778722167015, 0.2324327528476715, 0.0, 0.0]]",0,-1.476876974105835,"[-0.0455164909362793, 1.383875846862793, -0.6616145372390747, -0.21237441897392273, 0.07222676277160645, 0.232401043176651, 0.0, 0.0]",False
"[[-0.0455164909362793, 1.383875846862793, -0.6616145372390747, -0.21237441897392273, 0.07222676277160645, 0.232401043176651, 0.0, 0.0]]",0,-1.5127884149551392,"[-0.05201587826013565, 1.3785107135772705, -0.6616476774215698, -0.23905135691165924, 0.08384381979703903, 0.23236247897148132, 0.0, 0.0]",False
"[[-0.05201587826013565, 1.3785107135772705, -0.6616476774215698, -0.23905135691165924, 0.08384381979703903, 0.23236247897148132, 0.0, 0.0]]",2,-0.9256976842880249,"[-0.058502960950136185, 1.373112440109253, -0.6606152057647705, -0.2406216263771057, 0.09566932916641235, 0.23653170466423035, 0.0, 0.0]",False
"[[-0.058502960950136185, 1.373112440109253, -0.6606152057647705, -0.2406216263771057, 0.09566932916641235, 0.23653170466423035, 0.0, 0.0]]",0,-1.57295560836792,"[-0.06499042361974716, 1.3671162128448486, -0.6606481075286865, -0.26730599999427795, 0.10749274492263794, 0.2364896833896637, 0.0, 0.0]",False
"[[-0.06499042361974716, 1.3671162128448486, -0.6606481075286865, -0.26730599999427795, 0.10749274492263794, 0.2364896833896637, 0.0, 0.0]]",1,-2.9978456497192383,"[-0.07157383114099503, 1.3605092763900757, -0.6726478338241577, -0.2947373390197754, 0.12172999978065491, 0.2847711443901062, 0.0, 0.0]",False
"[[-0.07157383114099503, 1.3605092763900757, -0.6726478338241577, -0.2947373390197754, 0.12172999978065491, 0.2847711443901062, 0.0, 0.0]]",0,-1.8550015687942505,"[-0.07815780490636826, 1.3533048629760742, -0.6726877689361572, -0.32142314314842224, 0.1359638124704361, 0.28470292687416077, 0.0, 0.0]",False
"[[-0.07815780490636826, 1.3533048629760742, -0.6726877689361572, -0.32142314314842224, 0.1359638124704361, 0.28470292687416077, 0.0, 0.0]]",2,-0.059566985815763474,"[-0.08462333679199219, 1.3461443185806274, -0.6616348624229431, -0.3196979761123657, 0.15102754533290863, 0.30130210518836975, 0.0, 0.0]",False
"[[-0.08462333679199219, 1.3461443185806274, -0.6616348624229431, -0.3196979761123657, 0.15102754533290863, 0.30130210518836975, 0.0, 0.0]]",2,0.08761025965213776,"[-0.09112129360437393, 1.339931607246399, -0.6654285788536072, -0.2777818739414215, 0.16667033731937408, 0.3128848671913147, 0.0, 0.0]",False
"[[-0.09112129360437393, 1.339931607246399, -0.6654285788536072, -0.2777818739414215, 0.16667033731937408, 0.3128848671913147, 0.0, 0.0]]",2,-2.1890268325805664,"[-0.09770870208740234, 1.3336588144302368, -0.6741958260536194, -0.28059691190719604, 0.18217825889587402, 0.3101866841316223, 0.0, 0.0]",False
"[[-0.09770870208740234, 1.3336588144302368, -0.6741958260536194, -0.28059691190719604, 0.18217825889587402, 0.3101866841316223, 0.0, 0.0]]",0,-1.985607624053955,"[-0.10429706424474716, 1.326789140701294, -0.6742357015609741, -0.3072867691516876, 0.19768397510051727, 0.3101424276828766, 0.0, 0.0]",False
