obs,action,reward,next_obs,done
"[[0.0055141448974609375, 1.405938744544983, 0.5584997534751892, -0.22140394151210785, -0.006382674444466829, -0.12650874257087708, 0.0, 0.0]]",3,-2.064141273498535,"[0.011101340875029564, 1.4003714323043823, 0.5669020414352417, -0.24749131500720978, -0.01447154302150011, -0.1617920845746994, 0.0, 0.0]",False
"[[0.011101340875029564, 1.4003714323043823, 0.5669020414352417, -0.24749131500720978, -0.01447154302150011, -0.1617920845746994, 0.0, 0.0]]",3,-2.5402016639709473,"[0.016776274889707565, 1.3942124843597412, 0.5778892040252686, -0.2738564908504486, -0.02475184015929699, -0.20562534034252167, 0.0, 0.0]",False
"[[0.016776274889707565, 1.3942124843597412, 0.5778892040252686, -0.2738564908504486, -0.02475184015929699, -0.20562534034252167, 0.0, 0.0]]",0,-1.5500247478485107,"[0.02245159074664116, 1.3874551057815552, 0.5779203176498413, -0.3005351126194, -0.0350300632417202, -0.20558354258537292, 0.0, 0.0]",False
"[[0.02245159074664116, 1.3874551057815552, 0.5779203176498413, -0.3005351126194, -0.0350300632417202, -0.20558354258537292, 0.0, 0.0]]",0,-1.5781724452972412,"[0.028127288445830345, 1.3800989389419556, 0.5779505968093872, -0.3272112309932709, -0.04530712589621544, -0.2055598497390747, 0.0, 0.0]",False
"[[0.028127288445830345, 1.3800989389419556, 0.5779505968093872, -0.3272112309932709, -0.04530712589621544, -0.2055598497390747, 0.0, 0.0]]",1,-0.6330677270889282,"[0.033727072179317474, 1.372140645980835, 0.5684365630149841, -0.35398373007774353, -0.053672339767217636, -0.1673196256160736, 0.0, 0.0]",False
"[[0.033727072179317474, 1.372140645980835, 0.5684365630149841, -0.35398373007774353, -0.053672339767217636, -0.1673196256160736, 0.0, 0.0]]",3,-2.507777214050293,"[0.039406489580869675, 1.363582730293274, 0.5783965587615967, -0.38075196743011475, -0.06402834504842758, -0.20713965594768524, 0.0, 0.0]",False
"[[0.039406489580869675, 1.363582730293274, 0.5783965587615967, -0.38075196743011475, -0.06402834504842758, -0.20713965594768524, 0.0, 0.0]]",3,-2.9590651988983154,"[0.04518451541662216, 1.3544174432754517, 0.5907422304153442, -0.4079473614692688, -0.07685820758342743, -0.25662070512771606, 0.0, 0.0]",False
"[[0.04518451541662216, 1.3544174432754517, 0.5907422304153442, -0.4079473614692688, -0.07685820758342743, -0.25662070512771606, 0.0, 0.0]]",2,0.30118808150291443,"[0.05107259750366211, 1.3460588455200195, 0.6015598773956299, -0.3722008168697357, -0.08950667828321457, -0.25299307703971863, 0.0, 0.0]",False
"[[0.05107259750366211, 1.3460588455200195, 0.6015598773956299, -0.3722008168697357, -0.08950667828321457, -0.25299307703971863, 0.0, 0.0]]",2,0.8065873384475708,"[0.05699272081255913, 1.33858323097229, 0.6050205826759338, -0.3330761790275574, -0.10242285579442978, -0.25834694504737854, 0.0, 0.0]",False
"[[0.05699272081255913, 1.33858323097229, 0.6050205826759338, -0.3330761790275574, -0.10242285579442978, -0.25834694504737854, 0.0, 0.0]]",0,-1.8403531312942505,"[0.06291341781616211, 1.3305096626281738, 0.6050553917884827, -0.359764963388443, -0.115336574614048, -0.2582981288433075, 0.0, 0.0]",False
"[[0.06291341781616211, 1.3305096626281738, 0.6050553917884827, -0.359764963388443, -0.115336574614048, -0.2582981288433075, 0.0, 0.0]]",0,-1.8576053380966187,"[0.06883468478918076, 1.3218384981155396, 0.6050914525985718, -0.38644254207611084, -0.12824833393096924, -0.2582588195800781, 0.0, 0.0]",False
"[[0.06883468478918076, 1.3218384981155396, 0.6050914525985718, -0.38644254207611084, -0.12824833393096924, -0.2582588195800781, 0.0, 0.0]]",2,-1.8451086282730103,"[0.07489681243896484, 1.3131804466247559, 0.6187406778335571, -0.38592803478240967, -0.14074642956256866, -0.24998457729816437, 0.0, 0.0]",False
"[[0.07489681243896484, 1.3131804466247559, 0.6187406778335571, -0.38592803478240967, -0.14074642956256866, -0.24998457729816437, 0.0, 0.0]]",0,-1.8113001585006714,"[0.0809595137834549, 1.303924322128296, 0.6187732219696045, -0.4126162528991699, -0.1532427966594696, -0.2499503344297409, 0.0, 0.0]",False
"[[0.0809595137834549, 1.303924322128296, 0.6187732219696045, -0.4126162528991699, -0.1532427966594696, -0.2499503344297409, 0.0, 0.0]]",0,-1.8206701278686523,"[0.08702287822961807, 1.2940700054168701, 0.6188069581985474, -0.4392978549003601, -0.16573701798915863, -0.2499067485332489, 0.0, 0.0]",False
"[[0.08702287822961807, 1.2940700054168701, 0.6188069581985474, -0.4392978549003601, -0.16573701798915863, -0.2499067485332489, 0.0, 0.0]]",3,-2.7100565433502197,"[0.09314918518066406, 1.28359854221344, 0.6267076730728149, -0.4670334756374359, -0.1798502653837204, -0.2822909355163574, 0.0, 0.0]",False
"[[0.09314918518066406, 1.28359854221344, 0.6267076730728149, -0.4670334756374359, -0.1798502653837204, -0.2822909355163574, 0.0, 0.0]]",3,-3.2413816452026367,"[0.0993710532784462, 1.272515058517456, 0.6385955214500427, -0.49467161297798157, -0.1963614821434021, -0.33025431632995605, 0.0, 0.0]",False
"[[0.0993710532784462, 1.272515058517456, 0.6385955214500427, -0.49467161297798157, -0.1963614821434021, -0.33025431632995605, 0.0, 0.0]]",0,-2.201770305633545,"[0.10559387505054474, 1.2608349323272705, 0.6386371850967407, -0.5213667154312134, -0.21286924183368683, -0.3301851749420166, 0.0, 0.0]",False
"[[0.10559387505054474, 1.2608349323272705, 0.6386371850967407, -0.5213667154312134, -0.21286924183368683, -0.3301851749420166, 0.0, 0.0]]",3,-3.4601552486419678,"[0.11191282421350479, 1.2485380172729492, 0.6505898237228394, -0.5493398904800415, -0.23180995881557465, -0.3788485825061798, 0.0, 0.0]",False
"[[0.11191282421350479, 1.2485380172729492, 0.6505898237228394, -0.5493398904800415, -0.23180995881557465, -0.3788485825061798, 0.0, 0.0]]",1,-1.2568747997283936,"[0.11814336478710175, 1.2356759309768677, 0.6393488645553589, -0.5742995142936707, -0.2483941912651062, -0.331714391708374, 0.0, 0.0]",False
"[[0.11814336478710175, 1.2356759309768677, 0.6393488645553589, -0.5742995142936707, -0.2483941912651062, -0.331714391708374, 0.0, 0.0]]",0,-2.1893062591552734,"[0.1243748664855957, 1.222217082977295, 0.6393854022026062, -0.6009970307350159, -0.2649770975112915, -0.33168843388557434, 0.0, 0.0]",False
"[[0.1243748664855957, 1.222217082977295, 0.6393854022026062, -0.6009970307350159, -0.2649770975112915, -0.33168843388557434, 0.0, 0.0]]",3,-2.963317394256592,"[0.13066835701465607, 1.2081493139266968, 0.6470076441764832, -0.628536581993103, -0.28310656547546387, -0.3626222610473633, 0.0, 0.0]",False
"[[0.13066835701465607, 1.2081493139266968, 0.6470076441764832, -0.628536581993103, -0.28310656547546387, -0.3626222610473633, 0.0, 0.0]]",0,-2.3083255290985107,"[0.13696317374706268, 1.1934854984283447, 0.6470471620559692, -0.6552402973175049, -0.30123230814933777, -0.3625478446483612, 0.0, 0.0]",False
"[[0.13696317374706268, 1.1934854984283447, 0.6470471620559692, -0.6552402973175049, -0.30123230814933777, -0.3625478446483612, 0.0, 0.0]]",0,-2.2921416759490967,"[0.1432594358921051, 1.1782252788543701, 0.6470844745635986, -0.681944727897644, -0.319355309009552, -0.3624922037124634, 0.0, 0.0]",False
"[[0.1432594358921051, 1.1782252788543701, 0.6470844745635986, -0.681944727897644, -0.319355309009552, -0.3624922037124634, 0.0, 0.0]]",3,-3.438276767730713,"[0.14964333176612854, 1.1623291969299316, 0.6579756140708923, -0.7109422087669373, -0.339811772108078, -0.4091663360595703, 0.0, 0.0]",False
"[[0.14964333176612854, 1.1623291969299316, 0.6579756140708923, -0.7109422087669373, -0.339811772108078, -0.4091663360595703, 0.0, 0.0]]",0,-2.5073208808898926,"[0.15602388978004456, 1.1458179950714111, 0.6575333476066589, -0.7385550737380981, -0.3602662980556488, -0.4090900421142578, 0.0, 0.0]",False
"[[0.15602388978004456, 1.1458179950714111, 0.6575333476066589, -0.7385550737380981, -0.3602662980556488, -0.4090900421142578, 0.0, 0.0]]",1,-1.698037028312683,"[0.16234521567821503, 1.1287392377853394, 0.6499053835868835, -0.7636309266090393, -0.3790779709815979, -0.37623345851898193, 0.0, 0.0]",False
"[[0.16234521567821503, 1.1287392377853394, 0.6499053835868835, -0.7636309266090393, -0.3790779709815979, -0.37623345851898193, 0.0, 0.0]]",2,-1.2354873418807983,"[0.16906766593456268, 1.1122735738754272, 0.6895643472671509, -0.736518919467926, -0.39754894375801086, -0.3694191873073578, 0.0, 0.0]",False
"[[0.16906766593456268, 1.1122735738754272, 0.6895643472671509, -0.736518919467926, -0.39754894375801086, -0.3694191873073578, 0.0, 0.0]]",3,-3.2957968711853027,"[0.17586937546730042, 1.095174789428711, 0.6993523836135864, -0.7654585242271423, -0.41815805435180664, -0.4121822416782379, 0.0, 0.0]",False
"[[0.17586937546730042, 1.095174789428711, 0.6993523836135864, -0.7654585242271423, -0.41815805435180664, -0.4121822416782379, 0.0, 0.0]]",2,-0.984065055847168,"[0.18300017714500427, 1.0787570476531982, 0.7322819232940674, -0.7355111241340637, -0.43897879123687744, -0.41641488671302795, 0.0, 0.0]",False
"[[0.18300017714500427, 1.0787570476531982, 0.7322819232940674, -0.7355111241340637, -0.43897879123687744, -0.41641488671302795, 0.0, 0.0]]",2,-1.2381662130355835,"[0.19040270149707794, 1.0628999471664429, 0.7596048712730408, -0.7109623551368713, -0.46018242835998535, -0.4240725636482239, 0.0, 0.0]",False
"[[0.19040270149707794, 1.0628999471664429, 0.7596048712730408, -0.7109623551368713, -0.46018242835998535, -0.4240725636482239, 0.0, 0.0]]",2,-1.054526448249817,"[0.19800138473510742, 1.0475748777389526, 0.7796891927719116, -0.6878236532211304, -0.48212143778800964, -0.4387802183628082, 0.0, 0.0]",False
"[[0.19800138473510742, 1.0475748777389526, 0.7796891927719116, -0.6878236532211304, -0.48212143778800964, -0.4387802183628082, 0.0, 0.0]]",0,-2.5593388080596924,"[0.20560207962989807, 1.0316554307937622, 0.7796616554260254, -0.7145262360572815, -0.5040597319602966, -0.43876567482948303, 0.0, 0.0]",False
"[[0.20560207962989807, 1.0316554307937622, 0.7796616554260254, -0.7145262360572815, -0.5040597319602966, -0.43876567482948303, 0.0, 0.0]]",3,-3.798017978668213,"[0.213282972574234, 1.0150752067565918, 0.7895695567131042, -0.7450079321861267, -0.528429388999939, -0.4873940944671631, 0.0, 0.0]",False
"[[0.213282972574234, 1.0150752067565918, 0.7895695567131042, -0.7450079321861267, -0.528429388999939, -0.4873940944671631, 0.0, 0.0]]",2,-3.283627986907959,"[0.22142085433006287, 0.9989683628082275, 0.8348368406295776, -0.7242647409439087, -0.5526400804519653, -0.4842142164707184, 0.0, 0.0]",False
"[[0.22142085433006287, 0.9989683628082275, 0.8348368406295776, -0.7242647409439087, -0.5526400804519653, -0.4842142164707184, 0.0, 0.0]]",0,-2.738862991333008,"[0.22956152260303497, 0.9822680354118347, 0.8347989916801453, -0.7509734630584717, -0.5768498182296753, -0.48419469594955444, 0.0, 0.0]",False
"[[0.22956152260303497, 0.9822680354118347, 0.8347989916801453, -0.7509734630584717, -0.5768498182296753, -0.48419469594955444, 0.0, 0.0]]",1,-1.6865555047988892,"[0.2376418113708496, 0.9650433659553528, 0.8266136050224304, -0.7737827301025391, -0.5988877415657043, -0.4407587945461273, 0.0, 0.0]",False
"[[0.2376418113708496, 0.9650433659553528, 0.8266136050224304, -0.7737827301025391, -0.5988877415657043, -0.4407587945461273, 0.0, 0.0]]",1,-1.5730124711990356,"[0.24566268920898438, 0.9472775459289551, 0.818789005279541, -0.7973402738571167, -0.6189674139022827, -0.40159302949905396, 0.0, 0.0]",False
"[[0.24566268920898438, 0.9472775459289551, 0.818789005279541, -0.7973402738571167, -0.6189674139022827, -0.40159302949905396, 0.0, 0.0]]",3,-3.299201726913452,"[0.2537440359592438, 0.9288579821586609, 0.8261803388595581, -0.8274046182632446, -0.6409952044487, -0.44055572152137756, 0.0, 0.0]",False
"[[0.2537440359592438, 0.9288579821586609, 0.8261803388595581, -0.8274046182632446, -0.6409952044487, -0.44055572152137756, 0.0, 0.0]]",3,-3.6276326179504395,"[0.2618977427482605, 0.90977942943573, 0.834932804107666, -0.8578864336013794, -0.6652867197990417, -0.4858299195766449, 0.0, 0.0]",False
"[[0.2618977427482605, 0.90977942943573, 0.834932804107666, -0.8578864336013794, -0.6652867197990417, -0.4858299195766449, 0.0, 0.0]]",0,-2.6987011432647705,"[0.2700546383857727, 0.8901070356369019, 0.834887683391571, -0.8845923542976379, -0.6895772218704224, -0.48581013083457947, 0.0, 0.0]",False
"[[0.2700546383857727, 0.8901070356369019, 0.834887683391571, -0.8845923542976379, -0.6895772218704224, -0.48581013083457947, 0.0, 0.0]]",2,-4.8661980628967285,"[0.27890071272850037, 0.8707504868507385, 0.9029077291488647, -0.8705684542655945, -0.7132036089897156, -0.47252827882766724, 0.0, 0.0]",False
"[[0.27890071272850037, 0.8707504868507385, 0.9029077291488647, -0.8705684542655945, -0.7132036089897156, -0.47252827882766724, 0.0, 0.0]]",0,-2.608889102935791,"[0.2877500653266907, 0.8507994413375854, 0.9028623700141907, -0.8972708582878113, -0.7368291020393372, -0.47251003980636597, 0.0, 0.0]",False
"[[0.2877500653266907, 0.8507994413375854, 0.9028623700141907, -0.8972708582878113, -0.7368291020393372, -0.47251003980636597, 0.0, 0.0]]",0,-2.6053850650787354,"[0.29660263657569885, 0.8302540183067322, 0.9028156995773315, -0.9239724278450012, -0.7604537010192871, -0.47249191999435425, 0.0, 0.0]",False
"[[0.29660263657569885, 0.8302540183067322, 0.9028156995773315, -0.9239724278450012, -0.7604537010192871, -0.47249191999435425, 0.0, 0.0]]",3,-3.6419296264648438,"[0.3055116534233093, 0.8090360760688782, 0.9096122980117798, -0.955173909664154, -0.7862420082092285, -0.5157661437988281, 0.0, 0.0]",False
