obs,action,reward,next_obs,done
"[-1.18, 0.49, -1.15, 0.79, 0.08, -1.52, 0.0, 0.0]",0,-1.03,"[-1.16, 0.48, -1.2, 0.78, 0.09, -1.51, 0.0, 0.0]",False
"[-1.14, 0.47, -1.25, 0.77, 0.07, -1.53, 0.0, 0.0]",3,-1.06,"[-1.12, 0.46, -1.3, 0.76, 0.06, -1.55, 0.0, 0.0]",False
"[-1.1, 0.45, -1.35, 0.75, 0.05, -1.57, 0.0, 0.0]",0,-1.08,"[-1.08, 0.44, -1.4, 0.74, 0.06, -1.56, 0.0, 0.0]",False
"[-1.06, 0.43, -1.45, 0.73, 0.04, -1.58, 0.0, 0.0]",3,-1.11,"[-1.04, 0.42, -1.5, 0.72, 0.03, -1.6, 0.0, 0.0]",False
"[-1.02, 0.41, -1.55, 0.71, 0.02, -1.62, 0.0, 0.0]",0,-1.13,"[-1.0, 0.4, -1.6, 0.7, 0.03, -1.61, 0.0, 0.0]",False
"[-1.2, 0.5, -1.1, 0.8, 0.1, -1.5, 0.0, 0.0]",1,-1.33,"[-1.18, 0.49, -1.15, 0.79, 0.08, -1.52, 0.0, 0.0]",False
"[-1.16, 0.48, -1.2, 0.78, 0.09, -1.51, 0.0, 0.0]",2,-1.33,"[-1.14, 0.47, -1.25, 0.77, 0.07, -1.53, 0.0, 0.0]",False
"[-1.12, 0.46, -1.3, 0.76, 0.06, -1.55, 0.0, 0.0]",1,-1.38,"[-1.1, 0.45, -1.35, 0.75, 0.05, -1.57, 0.0, 0.0]",False
"[-1.2, 0.8, 0.3, -1.5, 0.1, 0.05, 0.0, 0.0]",1,-1.4,"[-1.23, 0.78, 0.28, -1.52, 0.12, 0.07, 0.0, 0.0]",False
"[-1.08, 0.44, -1.4, 0.74, 0.06, -1.56, 0.0, 0.0]",2,-1.41,"[-1.06, 0.43, -1.45, 0.73, 0.04, -1.58, 0.0, 0.0]",False
"[-1.04, 0.42, -1.5, 0.72, 0.03, -1.6, 0.0, 0.0]",1,-1.44,"[-1.02, 0.41, -1.55, 0.71, 0.02, -1.62, 0.0, 0.0]",False
"[0.2, 2.0, 0.1, -1.4, 0.0, 0.0, 0.0, 0.0]",2,-1.5,"[0.18, 1.94, 0.09, -1.45, 0.02, 0.05, 0.0, 0.0]",False
"[0.8, 1.5, 0.4, -1.5, 0.9, 0.5, 0.0, 0.0]",0,-1.8,"[0.82, 1.44, 0.39, -1.55, 0.91, 0.52, 0.0, 0.0]",False
"[1.5, 0.9, 0.8, -1.6, -1.8, -2.5, 0.0, 0.0]",0,-1.9,"[1.52, 0.85, 0.82, -1.62, -1.8, -2.5, 0.0, 0.0]",False
"[1.1, 0.6, 1.2, -2.5, 4.0, 1.0, 0.0, 0.0]",1,-2.0,"[1.13, 0.58, 1.18, -2.52, 4.05, 1.02, 0.0, 0.0]",False
"[-1.5, 1.3, 0.8, -2.2, 3.0, 0.9, 0.0, 0.0]",2,-2.1,"[-1.52, 1.28, 0.82, -2.24, 3.05, 0.92, 0.0, 0.0]",False
"[-1.2, 1.8, 0.3, -1.2, 0.15, 0.08, 0.0, 0.0]",2,-2.1,"[-1.18, 1.74, 0.28, -1.25, 0.16, 0.12, 0.0, 0.0]",False
"[-1.0, 1.9, 0.6, -1.1, -2.0, -1.0, 0.0, 0.0]",3,-2.4,"[-1.02, 1.84, 0.58, -1.15, -1.98, -1.05, 0.0, 0.0]",False
"[0.67, 1.12, 0.89, -2.67, 1.23, -1.45, 0.0, 0.0]",3,-2.5,"[0.65, 1.09, 0.71, -2.71, 1.18, -1.39, 0.0, 0.0]",False
"[0.9, 1.4, 1.5, -1.4, -2.0, -1.5, 0.0, 0.0]",1,-2.6,"[0.92, 1.38, 1.48, -1.42, -1.95, -1.52, 0.0, 0.0]",False
"[1.3, 1.6, -1.8, -1.2, 1.5, 1.8, 0.0, 0.0]",1,-2.7,"[1.28, 1.54, -1.76, -1.25, 1.52, 1.82, 0.0, 0.0]",False
"[0.8, 1.2, 0.2, -1.5, 0.6, 0.12, 0.0, 0.0]",0,-2.8,"[0.82, 1.18, 0.18, -1.53, 0.6, 0.13, 0.0, 0.0]",False
"[-1.2, 1.1, 0.05, -1.8, 0.1, 0.02, 0.0, 0.0]",1,-2.8,"[-1.25, 1.05, -1.85, -1.82, 0.12, 0.05, 0.0, 0.0]",False
"[0.8, 1.4, 0.9, -1.8, -5.0, 0.2, 0.0, 0.0]",3,-2.8,"[0.82, 1.38, 0.92, -1.82, -4.8, 0.22, 0.0, 0.0]",False
"[-2.1, 2.8, -1.1, -1.9, 0.45, 0.23, 0.0, 0.0]",2,-2.8,"[-2.08, 2.76, -1.28, -1.92, 0.42, 0.19, 0.0, 0.0]",False
"[1.8, 0.9, -1.2, -1.8, -8.0, -1.2, 0.0, 0.0]",0,-2.9,"[1.82, 0.88, -1.18, -1.82, -7.98, -1.19, 0.0, 0.0]",False
"[0.9, 2.3, 1.2, -1.7, -1.1, -1.4, 0.0, 0.0]",2,-2.9,"[0.88, 2.24, 1.18, -1.75, -1.09, -1.38, 0.0, 0.0]",False
"[1.1, 1.1, 0.2, -1.7, -2.8, -1.5, 0.0, 0.0]",2,-2.9,"[1.08, 1.05, 0.18, -1.72, -2.82, -1.52, 0.0, 0.0]",False
"[-1.0, 1.7, 1.2, -1.0, 0.2, 0.03, 0.0, 0.0]",2,-3.0,"[-1.02, 1.68, 1.18, -1.03, 0.21, 0.06, 0.0, 0.0]",False
"[-2.0, 2.2, -1.5, -1.8, 0.5, 0.2, 0.0, 0.0]",0,-3.0,"[-2.02, 2.14, -1.52, -1.85, 0.51, 0.18, 0.0, 0.0]",False
"[-2.89, 2.67, -2.56, -1.12, -1.45, 2.34, 0.0, 0.0]",1,-3.0,"[-2.91, 2.64, -2.74, -1.15, -1.5, 2.4, 0.0, 0.0]",False
"[-1.78, 2.12, 0.45, -2.89, 0.23, -1.56, 0.0, 0.0]",0,-3.1,"[-1.8, 2.09, 0.23, -2.92, 0.26, -1.6, 0.0, 0.0]",False
"[-1.8, 1.2, -1.0, -1.7, -10.0, -2.2, 0.0, 0.0]",2,-3.2,"[-1.82, 1.18, -1.02, -1.72, -10.05, -2.22, 0.0, 0.0]",False
"[-1.2, 1.5, 0.8, -1.2, 0.3, 0.05, 0.0, 0.0]",2,-3.2,"[-1.18, 1.48, 0.76, -1.25, 0.31, 0.08, 0.0, 0.0]",False
"[-1.5, 2.4, 1.0, -1.3, -1.5, -1.2, 0.0, 0.0]",3,-3.2,"[-1.52, 2.34, 0.98, -1.35, -1.48, -1.15, 0.0, 0.0]",False
