steps,return
84,-328.940025
148,-398.872407
213,-485.984287
281,-406.990444
364,-568.455519
439,-357.115915
517,-111.6552
587,-301.381979
655,-253.708384
727,-376.989181
800,-434.624313
864,-339.253268
952,-841.134143
88,-235.551613
156,-657.693328
226,-451.438981
288,-619.439047
427,-860.594968
496,-368.841782
550,-213.162732
643,-127.329463
704,-482.301579
774,-597.083761
859,-843.934026
927,-144.650191
132,-273.277345
206,-363.8481
291,-154.897835
350,-187.796156
428,-257.750583
510,-695.074982
564,-111.750756
620,-103.465602
703,-582.234473
763,-120.927837
822,-73.904856
875,-114.322844
951,-116.881484
1019,-121.541308
1089,-174.063177
1161,-136.031512
1235,-114.037131
1317,-134.635532
1396,-172.68219
1459,-113.205267
1523,-144.916286
1586,-141.013461
1667,-109.431696
1722,-89.277237
1781,-87.020462
1835,-147.156288
1895,-119.651715
1969,-143.167348
2056,-171.746847
2123,-159.24561
2216,-111.38544
2274,-119.470361
2368,-99.529652
2448,-151.974133
2500,-115.127682
2588,-178.565257
2641,-124.911261
2724,-131.834981
2786,-94.379121
2873,-57.724372
2945,-107.875183
3009,-81.039887
3197,-1.136607
3310,18.300227
3571,-33.477947
3699,33.198106
3764,-138.785775
4159,-400.624185
4292,-411.604213
4394,-329.998327
4570,-277.582798
4681,-281.569334
4797,-349.247375
4930,-367.203178
5056,-265.112115
5152,-351.279604
5289,-344.07268
5472,-51.719041
5699,-190.381161
5963,-210.82044
6065,-293.811056
6233,-307.325991
6428,-149.715325
6626,-243.791624
6818,-160.625369
6991,-194.948819
7231,-341.188898
7354,-155.37663
7995,-529.979549
8172,-199.868432
8502,-351.555264
8679,-245.632772
9012,-368.418412
9855,-341.259805
10855,-179.418339
11855,-135.490274
12329,-244.523155
12685,-245.043389
12903,-6.666524
13451,-181.518475
14149,-105.384144
14870,-102.334263
15753,-170.625263
16753,-261.160332
17259,-129.55439
17787,-386.800907
18328,-185.355378
18771,-575.217592
19244,-184.070145
19988,-154.27286
20266,-8.671625
20912,-152.054338
21385,-171.199485
21746,-219.481818
22360,-352.869438
22643,-11.574777
23171,-211.131742
23547,-316.327982
23987,-388.420478
24220,-194.106279
24705,-233.665156
25216,-145.731566
25668,-543.432276
26032,-320.048261
26490,-298.550705
27140,-117.521437
27391,-375.675902
27646,-54.167258
28329,-532.656847
28773,-271.801127
29203,-56.931098
29435,-300.771537
29949,-372.107891
30790,-187.781307
31279,-80.600296
31723,-185.789292
32209,-123.787964
32483,-63.101238
33086,-418.815438
33923,-169.239549
34458,-142.067238
35659,-329.09816
