steps,return
72,-309.190175
190,-293.24667
284,-297.584594
423,-221.402006
549,-637.991597
674,-648.995218
781,-325.098744
901,-684.676491
1093,-286.875958
1172,-145.574515
1243,-174.202305
1338,-192.848143
1435,-135.829836
1552,-55.438656
1771,-81.538323
2080,-162.446985
2254,-273.218236
2600,-323.180654
2778,-239.931202
3104,-341.084548
3461,-258.195199
3745,-219.795056
3981,-185.482468
4237,-421.669335
4444,-371.544799
5013,-176.117195
5187,-843.923451
5453,-480.662464
5879,6.776472
6151,-181.774138
6409,-225.613311
6641,-224.413493
6831,-71.083578
7072,-183.414991
7274,-150.632357
7482,-250.98244
7685,-68.984622
7865,-882.854508
8258,-262.084883
8484,-30.80702
8693,-859.389686
8893,40.356948
9193,-27.535647
9402,-207.343237
9660,-476.364713
9922,-203.664294
10243,-211.431626
10520,-270.639312
10756,-167.781756
11069,-213.97484
11304,-212.063676
11604,-198.212626
11899,-9.114054
12899,16.801234
13304,-29.525846
13560,-161.690218
14067,122.229452
14581,145.58381
14877,-18.149051
15188,-237.335541
15474,-29.6067
16474,36.326786
16825,-93.864345
17136,-177.913616
17447,-183.896315
17801,-213.126403
18145,-27.744753
18423,-35.208865
18820,-226.288741
19212,-283.285213
19572,-246.61105
19982,-223.369259
20405,-235.24972
20738,-232.962673
21045,-49.481483
21385,-9.903321
22385,170.149367
22688,-37.865953
22925,-199.831173
23277,-193.804979
24277,118.135387
24680,-50.614335
25286,152.036476
25688,-36.434414
26150,-223.462234
26587,-77.367718
27448,179.747873
27816,-55.67782
28246,199.468017
28824,-255.866131
29206,-187.474664
29618,233.315225
29972,-279.906142
30302,-246.260879
31038,221.732713
31360,-77.025315
31675,-139.242322
32139,174.888555
32537,-284.461089
33136,-204.767314
33616,-227.773096
34409,153.086462
35409,-193.615921
35769,-35.666457
